,Time,Open_1,Open_2,Open_3,Open_4,Open_5,Trans_1,Trans_2,Trans_3,Trans_4,Trans_5,Cis_1,Cis_2,Cis_3,Cis_4,Cis_5,Layered_1,Layered_2,Layered_3,Layered_4
52,530,98956.46941782809,89766.36085122128,101907.82601578133,99496.039090215,86227.11629951732,70639.12416063753,60570.670743505514,54701.57398313097,69956.1738270571,80390.56204841434,41645.71884925112,41813.91818795934,42744.20054036604,42049.79424173013,42226.05686799276,52681.92395002807,55838.37493686035,43444.527175973024,49630.24759415199
53,540,100185.37385037084,84636.2754605093,102351.37212197579,94299.64756501374,89095.93712197577,72918.64675536111,64117.51800432872,57161.82851541839,73949.64756501376,85440.19231366906,43796.758310316574,41642.23089991913,43117.4827806584,41686.1454553091,42320.669264832904,50636.27425489694,54296.29720831799,43356.75749375119,49818.07033793821
54,550,102402.84580736727,89748.31352147242,98978.49713425196,96955.14349873738,91104.45140003556,73921.85935431038,64181.351225215505,56099.96474891577,72605.1875433627,84717.10472918866,44105.762488213506,43040.70334931094,43888.58521598579,42433.690398266415,44387.496169108475,50658.59065690608,53670.098429788886,44425.048480973186,49739.38704901069
55,560,102783.07580505083,88744.73381073766,100215.91424320842,98696.71609760402,91666.08557725072,74454.50046787634,66950.7651066307,56938.989396718345,72534.61777917478,87767.01831155387,44609.9750586666,44221.33473779434,45142.95690642754,43480.78182400519,44429.81277158062,50886.2640460773,54413.98268711018,43508.81731029058,49943.149353776855
56,570,104558.99092866146,87267.11749886924,99495.18617694432,99462.64082235389,92855.82873581714,75981.27275001079,62820.759933139714,58860.45972519593,73230.44267993903,84158.61605455203,43812.47385600402,43869.63466640314,45139.841337596474,43450.661118191514,44157.54392147452,50052.46497659828,54553.353370772944,41216.7410402188,47762.1175455585
57,580,104822.07749101882,93316.34931372346,101853.16655881738,99485.04516797148,94838.43281845404,74421.94295882394,62628.59159745725,57778.94102026254,73310.90642328058,86119.9204742451,44739.96378210672,44021.93575366243,46387.15600582539,42977.09371425048,44912.752135040086,50215.205065814516,52468.15245968691,43404.107780746635,49233.18133254178
58,590,106103.27659907885,93386.90622870848,102303.67530192916,106239.03712672979,98130.53563655943,77589.32277081112,62737.24395245045,55053.9560371376,71993.0215807017,84567.37272573986,45836.49234777885,44280.587678398515,45788.007761275534,44744.16442215373,45599.92730970389,50574.57072979127,52499.24911458077,43927.841901223095,48794.88602668827
59,600,105756.46864894769,96132.48928108114,101069.82410088457,105271.8911371563,96651.58555306448,78533.45666637688,64978.50614333476,56724.935825787084,73280.05139464082,88514.27895655697,45498.87576969073,45274.859345651916,46947.47376039398,43649.84806490809,46930.89393391316,49138.889867435086,53231.57572198838,42345.550064122464,49533.46110860021
60,610,106480.96582571017,96529.40012006283,102646.51784292942,105983.10382376655,98123.84729988666,79476.39770936812,64173.063358415005,57981.460631278285,73841.39944970922,85354.6337123177,46570.10947348406,45109.62964536279,46225.37162197493,45958.26907400263,47070.177222551036,51326.84149635036,52882.18479743767,44092.72013072099,48830.459113187695
61,620,110760.9489948221,97403.95608158706,102477.46073895003,107348.26395341422,99428.10484504946,76943.38360841907,65053.263509206685,57182.57425362126,71551.67363250324,87087.00792910116,45755.46044877254,44979.8463293716,47501.221751702076,44724.467615258705,46612.40997742271,51263.002205753284,51681.20688058509,42596.30260557037,48419.920935300586
62,630,109577.73070904857,99789.72575429856,106112.33667803115,109248.45479913287,100933.07136321883,79651.0470663635,64952.232019962736,56995.67765104198,73374.78079129494,86673.93628061435,44985.43373077663,44709.49183616992,45334.28911255494,44001.11576779385,45671.67404608067,50385.22581832726,52805.079832925796,41923.05908763192,48433.45304590036
63,640,110042.88348358397,100412.408122086,106904.62539168115,105270.17658993823,102571.03763000644,79557.80992898814,66819.73760837546,55587.03812280486,74471.43359273935,86733.32904018808,45072.32067087159,44610.85907287616,45088.8958338685,45734.03279908856,45802.17432438277,48791.11230239448,53514.219623080695,42203.00643374017,48273.853060526475
64,650,109238.24254404665,99309.77351488218,105212.9227853362,108241.1327427023,103013.88941291519,76729.38431313237,66159.42084491244,58146.469851631686,75989.54357984712,86234.12322586482,45644.97033330284,45088.118424767425,46959.84636636069,44982.43589804113,44505.50300728559,51140.264844361925,54174.71146115893,42629.67526524597,49051.967296143
65,660,109226.55626006132,99908.00348729637,108665.65876053691,106384.73951151936,103921.65291258373,78358.01654894736,66499.57883850964,57615.07798903631,73810.93338248091,87521.06031999111,44373.61638290335,43405.87301262919,45823.20542399924,44848.53905798838,45033.76175612113,51635.41790059331,53344.183326209015,42824.21701514782,48906.369069788954
66,670,109938.62176280888,101689.46413557767,106993.44203475358,109819.20191126053,100509.07109288512,80117.85814672662,66432.73201510214,59814.62352358016,74941.22629841717,89094.79864706466,43530.890969552245,43053.70438575092,44566.13518167851,44067.71976093996,44810.38688235878,49656.529739501646,52737.57028847232,40919.831326803236,50167.02694041394
67,680,107626.11706284602,101629.97622191689,106379.17497637881,107628.43357218914,99313.52513657643,80729.90931736739,65205.45854943656,58377.2403425844,75669.19818988028,88278.91895999374,43874.9198818798,43050.50253770636,45745.23866761164,42702.37499360867,44229.74984953431,50171.326401342725,52811.167277590765,42076.74043535505,47065.430491596846
68,690,106839.76703466263,98780.14303654854,104189.7789735356,105937.9251176383,102084.91961682226,78907.09159606614,66342.6179118556,58413.26904876131,75260.9611183567,87427.1453801614,43112.75961226047,41681.21499338851,44861.85822963117,41854.46001711876,44056.78510695177,48121.01998138586,52490.90776472986,41999.305602155735,48712.2790250703
69,700,106883.99348322414,98119.34676312454,106940.58804821025,106956.11473940327,99044.0183218889,81302.4753217101,67648.14722235737,57470.9058902698,75483.5225962211,89601.27232814256,42093.24688428158,42301.2989851582,43960.6361099437,42665.155486432115,43362.71468341222,48942.18067671846,51345.57336450679,41825.26918288902,47167.22000256115
70,710,107418.3931013208,99022.63787615382,103506.01292830233,107629.13730760956,99277.9740496204,78444.65590762591,68589.16408142608,56685.59379536359,73513.86210223392,87195.3654064723,41714.885297210574,41287.547680075375,43006.55053212528,41654.743747993154,43431.80727335565,48316.055243100585,51667.660500588194,40807.49329171703,47534.909584837274
71,720,104308.92262398293,98527.46231477156,101966.22127067852,107978.13978742874,102068.12805033952,82057.29471700618,68312.3019320134,56463.30975460017,75212.29471700618,87616.89125879294,39453.028050339526,39809.39578083598,42230.14046168704,41159.96138367285,42136.39643431134,48604.54715773144,51834.68848471157,39608.84363004967,47820.732217006196
72,730,102791.07910708225,94080.76059109012,104241.49873091534,107461.86586653363,102703.36835964705,77232.58009364706,67243.88798572613,58451.45503553456,75035.6430697226,89528.9454569905,40834.10869983716,39437.79793472514,43953.6802050011,39460.04290627382,41047.69772559304,48178.282419246505,52081.49270031799,39874.47413040751,48275.15454834298
73,740,103290.8561285566,96465.76680515309,102774.62513129298,106150.59591086209,97661.11379414529,78836.64890946739,68386.51063833608,57470.41947188491,73205.89428766852,86885.43532110317,38709.48647684398,39888.19193485978,41723.509395177236,38013.19596443335,40568.07883355402,46736.428998242074,50082.58279950382,40108.2653537892,46748.17777583154
74,750,99792.69860870964,90295.30191449478,101417.4479123308,103542.53866434246,96221.02278453382,77457.2813625344,66740.17724118827,55325.71056685612,74562.22477561203,88885.65866577098,38117.88379389482,37182.86329909172,38391.82245587696,37249.65111530594,39661.876154401536,45676.04343629584,50582.2084126312,39300.05785803939,46012.3334401703
75,760,96933.35437045532,91424.65265717806,100626.4797466362,101971.00124455575,95831.20319844637,77409.73087893863,67811.0803132756,55848.37094989358,69985.42604579034,86642.18960587424,36308.457091087155,36617.43336529794,38803.10441561507,37425.97460027514,38167.39640772728,44212.28605198133,49014.6610098925,38484.999368077006,47268.1876363717
76,770,95348.79617465935,88607.3941336554,100220.71207810404,100726.65130462339,93439.49359355934,76370.02147036925,67536.96254897297,54777.2871577658,72708.87131223852,87267.59380860315,36110.14287193946,36007.548714527584,37422.27818068377,37043.538023203444,38465.38381520672,44002.02655686999,49535.15586513177,37860.06399484017,45038.52067834359
77,780,93048.01472562664,87709.25622128967,97119.52113694686,98621.38035688161,92202.69576863929,77256.04335550609,65401.018442521585,56114.98923070109,71032.23845527916,86996.5261421849,34741.34485736692,35423.53005045125,36763.04821037385,35046.40338730701,36270.006714333744,44599.58933005529,47931.146328677816,37185.251054741246,45227.380445129485
78,790,91796.49173680304,87979.71374680758,93962.02233041034,97296.83357493745,88442.40585498075,74449.96207151188,66504.96405318721,56724.239313459795,70239.17052468182,86041.64754204648,34074.782550451324,33802.11854272122,35772.87572287788,34807.39993924631,35629.44372298611,43872.380172177174,48122.33225245681,37331.37141807793,43646.79475024763
